16055,74130,40.2
16057,66546,28.7
16059,53967,52.1
16061,54285,48.6
16063,61361,35.1
16065,54512,23.5
16067,67816,35.2
16069,71465,40.8
16071,58747,38.6
16073,60798,38.9
16075,68276,40.4
16077,63375,38.3
16079,53892,47.3
16081,88054,37.2
16083,67867,34.7
16085,86047,50.6
16087,55317,45.4
17001,72053,41.5
17003,46981,45.3
17005,72369,41.6
17007,89482,38.5
17009,71088,38.9
17011,72177,44.4
17013,73438,46.8
17015,65151,48.3
17017,65654,40
17019,74803,30.1
17021,64899,43.4
17023,72492,42.3
17025,62922,42.6
17027,81411,40.6
17029,66458,35.7
17031,95677,36.8
17033,68410,41.8
17035,68662,42.5
17037,77444,31.1
17039,71098,43.6
17041,71081,37.8
17043,123178,39.3
17045,62511,45.2
17047,65280,43.5
17049,77771,39.4
17051,61212,41.9
17053,67090,43.4
17055,56109,42.8
17057,67814,43.2
17059,71467,45.6
17061,62277,42.5
17063,91384,37.9
17065,65965,43.6
17067,66566,46
17069,74749,46.8
17071,65213,50
17073,73302,43.1
17075,65047,44.4
17077,57671,31.9
17079,64186,43.1
17081,66359,40.9
17083,75610,42.9
17085,74630,49.9
17087,68684,43.7
17089,104278,37.3
17091,73991,37.7
17093,110975,35.2
17095,58636,42.1
17097,127257,38.4
17099,72700,41.9
17101,62206,42.4
17103,73903,43.2
17105,69815,42
17107,73126,40.1
17109,60150,33
17111,105240,40.2
17113,88810,33.1
17115,69280,41.1
17117,68714,43.7
17119,78557,40.2
17121,60262,42.2
17123,71345,46
17125,65149,45.2
17127,56735,43.5
17129,88289,43.2
17131,69351,44.9
17133,105341,42
17135,65721,43.3
17137,64238,40.8
17139,73189,40.7
17141,75899,42.4
17143,77258,37.5
17145,65309,42.2
17147,81088,42.9
17149,62740,42
17151,51067,52.5
17153,52110,44
17155,77077,48.1
17157,70079,41.6
17159,63252,42
17161,69960,40.1
17163,75474,38.6
17165,59748,42.2
17167,82375,40.3
17169,63290,46.3
17171,66286,44.6
17173,63460,45.1
17175,70263,45.1
17177,62817,45.3
17179,80682,41
17181,63764,43.7
17183,61753,40.4
17185,65575,43.8
17187,63814,39.8
17189,75768,43.9
17191,60461,43.4
17193,61001,44.3
17195,71473,43.4
17197,105838,37.9
17199,67912,41.2
17201,71360,39.7
17203,96870,40.5
18001,65750,33.5
18003,73195,35.9
18005,80056,37.8
18007,61729,40.5
18009,56693,44
18011,124465,38.1
18013,82152,50
18015,71684,42.9
18017,61608,40.8
18019,72734,39.1
18021,65144,41.5
18023,64131,37.8
18025,55598,43
18027,68429,34.4
18029,80394,42.5
18031,68940,39.2
18033,72425,39.1
18035,60528,35.6
18037,74871,40.3
18039,71964,35.6
18041,56682,42.8
18043,83925,39.8
18045,67826,43.4
18047,75292,42.2
18049,65255,41.3
18051,70778,40.3
18053,56890,40.3
18055,62184,43.1
18057,131790,37.1
18059,87144,39.8
18061,72940,42.3
18063,99177,37.7
18065,62330,42.1
18067,65998,41.7
18069,64240,40.7
18071,66368,38.5
18073,73222,40.3
18075,60027,39.7
18077,67274,40.8
18079,67996,39.8
18081,90501,37.5
18083,63212,37.9
18085,75552,38.5
18087,77943,31.1
18089,73253,39.1
18091,69755,40.3
18093,63859,43.1
18095,62510,40.4
18097,68914,34.3
18099,67414,40
18101,62744,42.7
18103,61391,40.1
18105,70085,29.6
18107,67020,40.2
18109,80395,41.5
18111,63790,43.1
18113,68936,38.7
18115,69488,47.4
18117,58832,42.4
18119,60524,45.2
18121,64709,43.2
18123,64159,42
18125,61466,43.7
18127,88151,39.5
18129,78947,42.6
18131,59326,41.6
18133,71447,37.9
18135,59581,42.6
18137,71576,40.7
18139,65706,41.7
18141,71909,36.6
18143,60070,41.5
18145,73073,40.8
18147,76231,44
18149,64476,41.5
18151,73107,43.7
18153,64112,41
18155,62890,40.5
18157,71389,28.2
18159,74502,45.1
18161,62140,43.5
18163,69566,38.3
18165,61067,42.9
18167,61602,36.2
18169,64394,42.3
18171,76096,44.4
18173,94684,41.2
18175,61872,41.6
18177,64356,40.6
18179,72066,40.3
18181,66551,42
18183,77629,41.8
19001,68186,45.4
19003,65045,47.3
19005,65543,44.4
19007,58551,45.7
19009,64386,48.1
19011,81983,42.6
19013,74486,35.2
19015,77650,41.8
19017,82376,39.8
19019,84637,39.1
19021,71786,35
19023,70812,43.9
19025,67274,44.6
19027,73480,42
